date,team,priority,request_count
2022-01-13,KYC,Low,135
2022-01-13,KYC,High,18
2022-01-13,Payments,Low,15
2022-01-13,Payments,High,58
2022-01-13,Sanctions,Low,1
2022-01-13,Sanctions,High,31
2022-01-14,KYC,Low,123
2022-01-14,KYC,High,18
2022-01-14,Payments,Low,37
2022-01-14,Payments,High,99
2022-01-14,Sanctions,Low,1
2022-01-14,Sanctions,High,25
2022-01-15,KYC,Low,113
2022-01-15,KYC,High,10
2022-01-15,Payments,Low,20
2022-01-15,Payments,High,42
2022-01-15,Sanctions,Low,0
2022-01-15,Sanctions,High,24
2022-01-16,KYC,Low,107
2022-01-16,KYC,High,9
2022-01-16,Payments,Low,18
2022-01-16,Payments,High,58
2022-01-16,Sanctions,Low,0
2022-01-16,Sanctions,High,12
2022-01-17,KYC,Low,115
2022-01-17,KYC,High,16
2022-01-17,Payments,Low,23
2022-01-17,Payments,High,81
2022-01-17,Sanctions,Low,4
2022-01-17,Sanctions,High,30
2022-01-18,KYC,Low,137
2022-01-18,KYC,High,17
2022-01-18,Payments,Low,13
2022-01-18,Payments,High,62
2022-01-18,Sanctions,Low,0
2022-01-18,Sanctions,High,31
2022-01-19,KYC,Low,157
2022-01-19,KYC,High,13
2022-01-19,Payments,Low,23
2022-01-19,Payments,High,70
2022-01-19,Sanctions,Low,1
2022-01-19,Sanctions,High,36
2022-01-20,KYC,Low,141
2022-01-20,KYC,High,22
2022-01-20,Payments,Low,27
2022-01-20,Payments,High,63
2022-01-20,Sanctions,Low,2
2022-01-20,Sanctions,High,30
2022-01-21,KYC,Low,127
2022-01-21,KYC,High,18
2022-01-21,Payments,Low,25
2022-01-21,Payments,High,99
2022-01-21,Sanctions,Low,0
2022-01-21,Sanctions,High,21
2022-01-22,KYC,Low,115
2022-01-22,KYC,High,9
2022-01-22,Payments,Low,24
2022-01-22,Payments,High,55
2022-01-22,Sanctions,Low,0
2022-01-22,Sanctions,High,35
2022-01-23,KYC,Low,148
2022-01-23,KYC,High,18
2022-01-23,Payments,Low,11
2022-01-23,Payments,High,64
2022-01-23,Sanctions,Low,0
2022-01-23,Sanctions,High,34
2022-01-24,KYC,Low,141
2022-01-24,KYC,High,12
2022-01-24,Payments,Low,19
2022-01-24,Payments,High,52
2022-01-24,Sanctions,Low,0
2022-01-24,Sanctions,High,37
2022-01-25,KYC,Low,150
2022-01-25,KYC,High,20
2022-01-25,Payments,Low,22
2022-01-25,Payments,High,74
2022-01-25,Sanctions,Low,0
2022-01-25,Sanctions,High,14
2022-01-26,KYC,Low,150
2022-01-26,KYC,High,13
2022-01-26,Payments,Low,21
2022-01-26,Payments,High,52
2022-01-26,Sanctions,Low,1
2022-01-26,Sanctions,High,29
2022-01-27,KYC,Low,135
2022-01-27,KYC,High,10
2022-01-27,Payments,Low,16
2022-01-27,Payments,High,51
2022-01-27,Sanctions,Low,0
2022-01-27,Sanctions,High,21
2022-01-28,KYC,Low,116
2022-01-28,KYC,High,12
2022-01-28,Payments,Low,31
2022-01-28,Payments,High,105
2022-01-28,Sanctions,Low,0
2022-01-28,Sanctions,High,25
2022-01-29,KYC,Low,115
2022-01-29,KYC,High,11
2022-01-29,Payments,Low,24
2022-01-29,Payments,High,59
2022-01-29,Sanctions,Low,0
2022-01-29,Sanctions,High,34
2022-01-30,KYC,Low,115
2022-01-30,KYC,High,9
2022-01-30,Payments,Low,20
2022-01-30,Payments,High,69
2022-01-30,Sanctions,Low,0
2022-01-30,Sanctions,High,20
2022-01-31,KYC,Low,141
2022-01-31,KYC,High,17
2022-01-31,Payments,Low,25
2022-01-31,Payments,High,97
2022-01-31,Sanctions,Low,0
2022-01-31,Sanctions,High,38
2022-02-01,KYC,Low,123
2022-02-01,KYC,High,15
2022-02-01,Payments,Low,13
2022-02-01,Payments,High,78
2022-02-01,Sanctions,Low,0
2022-02-01,Sanctions,High,22
2022-02-02,KYC,Low,155
2022-02-02,KYC,High,17
2022-02-02,Payments,Low,21
2022-02-02,Payments,High,58
2022-02-02,Sanctions,Low,0
2022-02-02,Sanctions,High,27
2022-02-03,KYC,Low,136
2022-02-03,KYC,High,13
2022-02-03,Payments,Low,19
2022-02-03,Payments,High,62
2022-02-03,Sanctions,Low,1
2022-02-03,Sanctions,High,22
2022-02-04,KYC,Low,129
2022-02-04,KYC,High,11
2022-02-04,Payments,Low,34
2022-02-04,Payments,High,122
2022-02-04,Sanctions,Low,0
2022-02-04,Sanctions,High,29
2022-02-05,KYC,Low,108
2022-02-05,KYC,High,16
2022-02-05,Payments,Low,11
2022-02-05,Payments,High,65
2022-02-05,Sanctions,Low,1
2022-02-05,Sanctions,High,25
2022-02-06,KYC,Low,95
2022-02-06,KYC,High,15
2022-02-06,Payments,Low,7
2022-02-06,Payments,High,62
2022-02-06,Sanctions,Low,0
2022-02-06,Sanctions,High,28
2022-02-07,KYC,Low,127
2022-02-07,KYC,High,13
2022-02-07,Payments,Low,15
2022-02-07,Payments,High,60
2022-02-07,Sanctions,Low,1
2022-02-07,Sanctions,High,23
2022-02-08,KYC,Low,133
2022-02-08,KYC,High,17
2022-02-08,Payments,Low,17
2022-02-08,Payments,High,66
2022-02-08,Sanctions,Low,0
2022-02-08,Sanctions,High,18
2022-02-09,KYC,Low,137
2022-02-09,KYC,High,19
2022-02-09,Payments,Low,15
2022-02-09,Payments,High,57
2022-02-09,Sanctions,Low,1
2022-02-09,Sanctions,High,36
2022-02-10,KYC,Low,120
2022-02-10,KYC,High,12
2022-02-10,Payments,Low,16
2022-02-10,Payments,High,68
2022-02-10,Sanctions,Low,1
2022-02-10,Sanctions,High,29
2022-02-11,KYC,Low,120
2022-02-11,KYC,High,14
2022-02-11,Payments,Low,27
2022-02-11,Payments,High,94
2022-02-11,Sanctions,Low,0
2022-02-11,Sanctions,High,25
2022-02-12,KYC,Low,103
2022-02-12,KYC,High,13
2022-02-12,Payments,Low,15
2022-02-12,Payments,High,67
2022-02-12,Sanctions,Low,0
2022-02-12,Sanctions,High,20
2022-02-13,KYC,Low,94
2022-02-13,KYC,High,16
2022-02-13,Payments,Low,8
2022-02-13,Payments,High,76
2022-02-13,Sanctions,Low,0
2022-02-13,Sanctions,High,30
2022-02-14,KYC,Low,154
2022-02-14,KYC,High,11
2022-02-14,Payments,Low,23
2022-02-14,Payments,High,75
2022-02-14,Sanctions,Low,2
2022-02-14,Sanctions,High,32
2022-02-15,KYC,Low,136
2022-02-15,KYC,High,19
2022-02-15,Payments,Low,22
2022-02-15,Payments,High,78
2022-02-15,Sanctions,Low,0
2022-02-15,Sanctions,High,23
2022-02-16,KYC,Low,143
2022-02-16,KYC,High,21
2022-02-16,Payments,Low,19
2022-02-16,Payments,High,59
2022-02-16,Sanctions,Low,1
2022-02-16,Sanctions,High,29
2022-02-17,KYC,Low,124
2022-02-17,KYC,High,15
2022-02-17,Payments,Low,20
2022-02-17,Payments,High,65
2022-02-17,Sanctions,Low,1
2022-02-17,Sanctions,High,30
2022-02-18,KYC,Low,141
2022-02-18,KYC,High,16
2022-02-18,Payments,Low,47
2022-02-18,Payments,High,105
2022-02-18,Sanctions,Low,1
2022-02-18,Sanctions,High,22
2022-02-19,KYC,Low,125
2022-02-19,KYC,High,14
2022-02-19,Payments,Low,20
2022-02-19,Payments,High,51
2022-02-19,Sanctions,Low,0
2022-02-19,Sanctions,High,27
2022-02-20,KYC,Low,152
2022-02-20,KYC,High,11
2022-02-20,Payments,Low,16
2022-02-20,Payments,High,53
2022-02-20,Sanctions,Low,0
2022-02-20,Sanctions,High,42
2022-02-21,KYC,Low,122
2022-02-21,KYC,High,15
2022-02-21,Payments,Low,15
2022-02-21,Payments,High,63
2022-02-21,Sanctions,Low,1
2022-02-21,Sanctions,High,17
2022-02-22,KYC,Low,168
2022-02-22,KYC,High,10
2022-02-22,Payments,Low,19
2022-02-22,Payments,High,75
2022-02-22,Sanctions,Low,0
2022-02-22,Sanctions,High,22
2022-02-23,KYC,Low,131
2022-02-23,KYC,High,14
2022-02-23,Payments,Low,23
2022-02-23,Payments,High,83
2022-02-23,Sanctions,Low,1
2022-02-23,Sanctions,High,20
2022-02-24,KYC,Low,138
2022-02-24,KYC,High,20
2022-02-24,Payments,Low,18
2022-02-24,Payments,High,56
2022-02-24,Sanctions,Low,3
2022-02-24,Sanctions,High,24
2022-02-25,KYC,Low,154
2022-02-25,KYC,High,23
2022-02-25,Payments,Low,33
2022-02-25,Payments,High,107
2022-02-25,Sanctions,Low,0
2022-02-25,Sanctions,High,33
2022-02-26,KYC,Low,130
2022-02-26,KYC,High,13
2022-02-26,Payments,Low,24
2022-02-26,Payments,High,43
2022-02-26,Sanctions,Low,1
2022-02-26,Sanctions,High,27
2022-02-27,KYC,Low,119
2022-02-27,KYC,High,13
2022-02-27,Payments,Low,12
2022-02-27,Payments,High,58
2022-02-27,Sanctions,Low,0
2022-02-27,Sanctions,High,28
2022-02-28,KYC,Low,130
2022-02-28,KYC,High,17
2022-02-28,Payments,Low,36
2022-02-28,Payments,High,106
2022-02-28,Sanctions,Low,1
2022-02-28,Sanctions,High,32
2022-03-01,KYC,Low,139
2022-03-01,KYC,High,14
2022-03-01,Payments,Low,18
2022-03-01,Payments,High,54
2022-03-01,Sanctions,Low,1
2022-03-01,Sanctions,High,23
2022-03-02,KYC,Low,127
2022-03-02,KYC,High,12
2022-03-02,Payments,Low,25
2022-03-02,Payments,High,64
2022-03-02,Sanctions,Low,2
2022-03-02,Sanctions,High,29
2022-03-03,KYC,Low,133
2022-03-03,KYC,High,16
2022-03-03,Payments,Low,15
2022-03-03,Payments,High,62
2022-03-03,Sanctions,Low,0
2022-03-03,Sanctions,High,24
2022-03-04,KYC,Low,138
2022-03-04,KYC,High,14
2022-03-04,Payments,Low,27
2022-03-04,Payments,High,106
2022-03-04,Sanctions,Low,0
2022-03-04,Sanctions,High,20
2022-03-05,KYC,Low,112
2022-03-05,KYC,High,17
2022-03-05,Payments,Low,21
2022-03-05,Payments,High,53
2022-03-05,Sanctions,Low,0
2022-03-05,Sanctions,High,18
2022-03-06,KYC,Low,135
2022-03-06,KYC,High,13
2022-03-06,Payments,Low,17
2022-03-06,Payments,High,49
2022-03-06,Sanctions,Low,1
2022-03-06,Sanctions,High,20
2022-03-07,KYC,Low,152
2022-03-07,KYC,High,14
2022-03-07,Payments,Low,18
2022-03-07,Payments,High,55
2022-03-07,Sanctions,Low,0
2022-03-07,Sanctions,High,23
2022-03-08,KYC,Low,151
2022-03-08,KYC,High,11
2022-03-08,Payments,Low,23
2022-03-08,Payments,High,75
2022-03-08,Sanctions,Low,3
2022-03-08,Sanctions,High,136
2022-03-09,KYC,Low,154
2022-03-09,KYC,High,9
2022-03-09,Payments,Low,13
2022-03-09,Payments,High,52
2022-03-09,Sanctions,Low,0
2022-03-09,Sanctions,High,24
2022-03-10,KYC,Low,143
2022-03-10,KYC,High,18
2022-03-10,Payments,Low,17
2022-03-10,Payments,High,64
2022-03-10,Sanctions,Low,0
2022-03-10,Sanctions,High,24
2022-03-11,KYC,Low,129
2022-03-11,KYC,High,11
2022-03-11,Payments,Low,29
2022-03-11,Payments,High,119
2022-03-11,Sanctions,Low,0
2022-03-11,Sanctions,High,16
2022-03-12,KYC,Low,119
2022-03-12,KYC,High,6
2022-03-12,Payments,Low,18
2022-03-12,Payments,High,64
2022-03-12,Sanctions,Low,0
2022-03-12,Sanctions,High,25
2022-03-13,KYC,Low,119
2022-03-13,KYC,High,12
2022-03-13,Payments,Low,18
2022-03-13,Payments,High,49
2022-03-13,Sanctions,Low,0
2022-03-13,Sanctions,High,25
2022-03-14,KYC,Low,138
2022-03-14,KYC,High,24
2022-03-14,Payments,Low,22
2022-03-14,Payments,High,61
2022-03-14,Sanctions,Low,1
2022-03-14,Sanctions,High,25
2022-03-15,KYC,Low,143
2022-03-15,KYC,High,24
2022-03-15,Payments,Low,17
2022-03-15,Payments,High,70
2022-03-15,Sanctions,Low,1
2022-03-15,Sanctions,High,32
2022-03-16,KYC,Low,137
2022-03-16,KYC,High,16
2022-03-16,Payments,Low,16
2022-03-16,Payments,High,83
2022-03-16,Sanctions,Low,1
2022-03-16,Sanctions,High,43
2022-03-17,KYC,Low,137
2022-03-17,KYC,High,15
2022-03-17,Payments,Low,15
2022-03-17,Payments,High,59
2022-03-17,Sanctions,Low,1
2022-03-17,Sanctions,High,120
2022-03-18,KYC,Low,117
2022-03-18,KYC,High,19
2022-03-18,Payments,Low,25
2022-03-18,Payments,High,118
2022-03-18,Sanctions,Low,1
2022-03-18,Sanctions,High,22
2022-03-19,KYC,Low,111
2022-03-19,KYC,High,18
2022-03-19,Payments,Low,16
2022-03-19,Payments,High,62
2022-03-19,Sanctions,Low,1
2022-03-19,Sanctions,High,24
2022-03-20,KYC,Low,114
2022-03-20,KYC,High,13
2022-03-20,Payments,Low,31
2022-03-20,Payments,High,65
2022-03-20,Sanctions,Low,1
2022-03-20,Sanctions,High,24
2022-03-21,KYC,Low,144
2022-03-21,KYC,High,21
2022-03-21,Payments,Low,12
2022-03-21,Payments,High,72
2022-03-21,Sanctions,Low,0
2022-03-21,Sanctions,High,37
2022-03-22,KYC,Low,135
2022-03-22,KYC,High,18
2022-03-22,Payments,Low,27
2022-03-22,Payments,High,73
2022-03-22,Sanctions,Low,0
2022-03-22,Sanctions,High,25
2022-03-23,KYC,Low,121
2022-03-23,KYC,High,19
2022-03-23,Payments,Low,26
2022-03-23,Payments,High,43
2022-03-23,Sanctions,Low,0
2022-03-23,Sanctions,High,28
2022-03-24,KYC,Low,108
2022-03-24,KYC,High,15
2022-03-24,Payments,Low,19
2022-03-24,Payments,High,57
2022-03-24,Sanctions,Low,1
2022-03-24,Sanctions,High,37
2022-03-25,KYC,Low,122
2022-03-25,KYC,High,14
2022-03-25,Payments,Low,32
2022-03-25,Payments,High,129
2022-03-25,Sanctions,Low,0
2022-03-25,Sanctions,High,32
2022-03-26,KYC,Low,119
2022-03-26,KYC,High,13
2022-03-26,Payments,Low,15
2022-03-26,Payments,High,60
2022-03-26,Sanctions,Low,0
2022-03-26,Sanctions,High,19
2022-03-27,KYC,Low,132
2022-03-27,KYC,High,15
2022-03-27,Payments,Low,19
2022-03-27,Payments,High,64
2022-03-27,Sanctions,Low,1
2022-03-27,Sanctions,High,24
2022-03-28,KYC,Low,147
2022-03-28,KYC,High,11
2022-03-28,Payments,Low,15
2022-03-28,Payments,High,82
2022-03-28,Sanctions,Low,0
2022-03-28,Sanctions,High,19
2022-03-29,KYC,Low,138
2022-03-29,KYC,High,11
2022-03-29,Payments,Low,16
2022-03-29,Payments,High,68
2022-03-29,Sanctions,Low,0
2022-03-29,Sanctions,High,25
2022-03-30,KYC,Low,129
2022-03-30,KYC,High,11
2022-03-30,Payments,Low,17
2022-03-30,Payments,High,73
2022-03-30,Sanctions,Low,0
2022-03-30,Sanctions,High,19
2022-03-31,KYC,Low,159
2022-03-31,KYC,High,19
2022-03-31,Payments,Low,19
2022-03-31,Payments,High,98
2022-03-31,Sanctions,Low,0
2022-03-31,Sanctions,High,28
2022-04-01,KYC,Low,119
2022-04-01,KYC,High,11
2022-04-01,Payments,Low,46
2022-04-01,Payments,High,125
2022-04-01,Sanctions,Low,0
2022-04-01,Sanctions,High,23
2022-04-02,KYC,Low,107
2022-04-02,KYC,High,17
2022-04-02,Payments,Low,23
2022-04-02,Payments,High,63
2022-04-02,Sanctions,Low,0
2022-04-02,Sanctions,High,19
2022-04-03,KYC,Low,116
2022-04-03,KYC,High,10
2022-04-03,Payments,Low,7
2022-04-03,Payments,High,62
2022-04-03,Sanctions,Low,0
2022-04-03,Sanctions,High,25
2022-04-04,KYC,Low,132
2022-04-04,KYC,High,16
2022-04-04,Payments,Low,17
2022-04-04,Payments,High,60
2022-04-04,Sanctions,Low,1
2022-04-04,Sanctions,High,25
2022-04-05,KYC,Low,161
2022-04-05,KYC,High,13
2022-04-05,Payments,Low,16
2022-04-05,Payments,High,86
2022-04-05,Sanctions,Low,0
2022-04-05,Sanctions,High,35
2022-04-06,KYC,Low,129
2022-04-06,KYC,High,12
2022-04-06,Payments,Low,25
2022-04-06,Payments,High,70
2022-04-06,Sanctions,Low,0
2022-04-06,Sanctions,High,35
2022-04-07,KYC,Low,144
2022-04-07,KYC,High,10
2022-04-07,Payments,Low,18
2022-04-07,Payments,High,65
2022-04-07,Sanctions,Low,2
2022-04-07,Sanctions,High,32
2022-04-08,KYC,Low,133
2022-04-08,KYC,High,13
2022-04-08,Payments,Low,28
2022-04-08,Payments,High,109
2022-04-08,Sanctions,Low,1
2022-04-08,Sanctions,High,23
2022-04-09,KYC,Low,112
2022-04-09,KYC,High,14
2022-04-09,Payments,Low,8
2022-04-09,Payments,High,70
2022-04-09,Sanctions,Low,0
2022-04-09,Sanctions,High,34
2022-04-10,KYC,Low,110
2022-04-10,KYC,High,17
2022-04-10,Payments,Low,13
2022-04-10,Payments,High,62
2022-04-10,Sanctions,Low,0
2022-04-10,Sanctions,High,26
2022-04-11,KYC,Low,135
2022-04-11,KYC,High,13
2022-04-11,Payments,Low,15
2022-04-11,Payments,High,55
2022-04-11,Sanctions,Low,1
2022-04-11,Sanctions,High,26
2022-04-12,KYC,Low,151
2022-04-12,KYC,High,14
2022-04-12,Payments,Low,14
2022-04-12,Payments,High,61
2022-04-12,Sanctions,Low,0
2022-04-12,Sanctions,High,33
2022-04-13,KYC,Low,137
2022-04-13,KYC,High,13
2022-04-13,Payments,Low,15
2022-04-13,Payments,High,68
2022-04-13,Sanctions,Low,1
2022-04-13,Sanctions,High,32
2022-04-14,KYC,Low,115
2022-04-14,KYC,High,14
2022-04-14,Payments,Low,14
2022-04-14,Payments,High,63
2022-04-14,Sanctions,Low,0
2022-04-14,Sanctions,High,26
2022-04-15,KYC,Low,138
2022-04-15,KYC,High,15
2022-04-15,Payments,Low,42
2022-04-15,Payments,High,113
2022-04-15,Sanctions,Low,0
2022-04-15,Sanctions,High,17
2022-04-16,KYC,Low,124
2022-04-16,KYC,High,14
2022-04-16,Payments,Low,25
2022-04-16,Payments,High,62
2022-04-16,Sanctions,Low,1
2022-04-16,Sanctions,High,28
2022-04-17,KYC,Low,118
2022-04-17,KYC,High,11
2022-04-17,Payments,Low,18
2022-04-17,Payments,High,54
2022-04-17,Sanctions,Low,1
2022-04-17,Sanctions,High,35
2022-04-18,KYC,Low,141
2022-04-18,KYC,High,18
2022-04-18,Payments,Low,16
2022-04-18,Payments,High,64
2022-04-18,Sanctions,Low,1
2022-04-18,Sanctions,High,22
2022-04-19,KYC,Low,129
2022-04-19,KYC,High,15
2022-04-19,Payments,Low,26
2022-04-19,Payments,High,69
2022-04-19,Sanctions,Low,0
2022-04-19,Sanctions,High,28
2022-04-20,KYC,Low,138
2022-04-20,KYC,High,12
2022-04-20,Payments,Low,16
2022-04-20,Payments,High,68
2022-04-20,Sanctions,Low,2
2022-04-20,Sanctions,High,22
2022-04-21,KYC,Low,130
2022-04-21,KYC,High,23
2022-04-21,Payments,Low,18
2022-04-21,Payments,High,69
2022-04-21,Sanctions,Low,2
2022-04-21,Sanctions,High,78
2022-04-22,KYC,Low,127
2022-04-22,KYC,High,13
2022-04-22,Payments,Low,29
2022-04-22,Payments,High,144
2022-04-22,Sanctions,Low,0
2022-04-22,Sanctions,High,36
2022-04-23,KYC,Low,110
2022-04-23,KYC,High,7
2022-04-23,Payments,Low,15
2022-04-23,Payments,High,58
2022-04-23,Sanctions,Low,0
2022-04-23,Sanctions,High,19
2022-04-24,KYC,Low,130
2022-04-24,KYC,High,19
2022-04-24,Payments,Low,12
2022-04-24,Payments,High,65
2022-04-24,Sanctions,Low,0
2022-04-24,Sanctions,High,16
2022-04-25,KYC,Low,146
2022-04-25,KYC,High,18
2022-04-25,Payments,Low,18
2022-04-25,Payments,High,73
2022-04-25,Sanctions,Low,0
2022-04-25,Sanctions,High,29
2022-04-26,KYC,Low,155
2022-04-26,KYC,High,20
2022-04-26,Payments,Low,26
2022-04-26,Payments,High,46
2022-04-26,Sanctions,Low,0
2022-04-26,Sanctions,High,17
2022-04-27,KYC,Low,140
2022-04-27,KYC,High,11
2022-04-27,Payments,Low,28
2022-04-27,Payments,High,66
2022-04-27,Sanctions,Low,0
2022-04-27,Sanctions,High,44
2022-04-28,KYC,Low,133
2022-04-28,KYC,High,20
2022-04-28,Payments,Low,14
2022-04-28,Payments,High,56
2022-04-28,Sanctions,Low,0
2022-04-28,Sanctions,High,25
2022-04-29,KYC,Low,128
2022-04-29,KYC,High,15
2022-04-29,Payments,Low,43
2022-04-29,Payments,High,105
2022-04-29,Sanctions,Low,1
2022-04-29,Sanctions,High,24
2022-04-30,KYC,Low,119
2022-04-30,KYC,High,9
2022-04-30,Payments,Low,23
2022-04-30,Payments,High,81
2022-04-30,Sanctions,Low,0
2022-04-30,Sanctions,High,21
2022-05-01,KYC,Low,146
2022-05-01,KYC,High,14
2022-05-01,Payments,Low,20
2022-05-01,Payments,High,57
2022-05-01,Sanctions,Low,1
2022-05-01,Sanctions,High,37
2022-05-02,KYC,Low,156
2022-05-02,KYC,High,21
2022-05-02,Payments,Low,15
2022-05-02,Payments,High,46
2022-05-02,Sanctions,Low,0
2022-05-02,Sanctions,High,23
2022-05-03,KYC,Low,139
2022-05-03,KYC,High,15
2022-05-03,Payments,Low,19
2022-05-03,Payments,High,64
2022-05-03,Sanctions,Low,0
2022-05-03,Sanctions,High,37
2022-05-04,KYC,Low,135
2022-05-04,KYC,High,12
2022-05-04,Payments,Low,20
2022-05-04,Payments,High,81
2022-05-04,Sanctions,Low,0
2022-05-04,Sanctions,High,28
2022-05-05,KYC,Low,126
2022-05-05,KYC,High,21
2022-05-05,Payments,Low,16
2022-05-05,Payments,High,71
2022-05-05,Sanctions,Low,0
2022-05-05,Sanctions,High,26
2022-05-06,KYC,Low,153
2022-05-06,KYC,High,12
2022-05-06,Payments,Low,33
2022-05-06,Payments,High,112
2022-05-06,Sanctions,Low,0
2022-05-06,Sanctions,High,35
2022-05-07,KYC,Low,103
2022-05-07,KYC,High,11
2022-05-07,Payments,Low,14
2022-05-07,Payments,High,56
2022-05-07,Sanctions,Low,0
2022-05-07,Sanctions,High,20
2022-05-08,KYC,Low,135
2022-05-08,KYC,High,14
2022-05-08,Payments,Low,21
2022-05-08,Payments,High,60
2022-05-08,Sanctions,Low,1
2022-05-08,Sanctions,High,16
2022-05-09,KYC,Low,156
2022-05-09,KYC,High,17
2022-05-09,Payments,Low,20
2022-05-09,Payments,High,57
2022-05-09,Sanctions,Low,1
2022-05-09,Sanctions,High,29
2022-05-10,KYC,Low,137
2022-05-10,KYC,High,6
2022-05-10,Payments,Low,23
2022-05-10,Payments,High,69
2022-05-10,Sanctions,Low,0
2022-05-10,Sanctions,High,24
2022-05-11,KYC,Low,143
2022-05-11,KYC,High,14
2022-05-11,Payments,Low,14
2022-05-11,Payments,High,68
2022-05-11,Sanctions,Low,0
2022-05-11,Sanctions,High,16
2022-05-12,KYC,Low,128
2022-05-12,KYC,High,15
2022-05-12,Payments,Low,16
2022-05-12,Payments,High,54
2022-05-12,Sanctions,Low,1
2022-05-12,Sanctions,High,20
2022-05-13,KYC,Low,119
2022-05-13,KYC,High,18
2022-05-13,Payments,Low,41
2022-05-13,Payments,High,122
2022-05-13,Sanctions,Low,1
2022-05-13,Sanctions,High,24
2022-05-14,KYC,Low,128
2022-05-14,KYC,High,13
2022-05-14,Payments,Low,18
2022-05-14,Payments,High,58
2022-05-14,Sanctions,Low,0
2022-05-14,Sanctions,High,25
2022-05-15,KYC,Low,133
2022-05-15,KYC,High,9
2022-05-15,Payments,Low,22
2022-05-15,Payments,High,67
2022-05-15,Sanctions,Low,0
2022-05-15,Sanctions,High,24
2022-05-16,KYC,Low,161
2022-05-16,KYC,High,13
2022-05-16,Payments,Low,16
2022-05-16,Payments,High,82
2022-05-16,Sanctions,Low,1
2022-05-16,Sanctions,High,28
2022-05-17,KYC,Low,173
2022-05-17,KYC,High,13
2022-05-17,Payments,Low,13
2022-05-17,Payments,High,75
2022-05-17,Sanctions,Low,1
2022-05-17,Sanctions,High,28
2022-05-18,KYC,Low,148
2022-05-18,KYC,High,11
2022-05-18,Payments,Low,20
2022-05-18,Payments,High,70
2022-05-18,Sanctions,Low,0
2022-05-18,Sanctions,High,24
2022-05-19,KYC,Low,141
2022-05-19,KYC,High,16
2022-05-19,Payments,Low,15
2022-05-19,Payments,High,76
2022-05-19,Sanctions,Low,0
2022-05-19,Sanctions,High,26
2022-05-20,KYC,Low,122
2022-05-20,KYC,High,14
2022-05-20,Payments,Low,21
2022-05-20,Payments,High,112
2022-05-20,Sanctions,Low,1
2022-05-20,Sanctions,High,19
2022-05-21,KYC,Low,135
2022-05-21,KYC,High,13
2022-05-21,Payments,Low,17
2022-05-21,Payments,High,52
2022-05-21,Sanctions,Low,0
2022-05-21,Sanctions,High,35
2022-05-22,KYC,Low,126
2022-05-22,KYC,High,13
2022-05-22,Payments,Low,12
2022-05-22,Payments,High,55
2022-05-22,Sanctions,Low,0
2022-05-22,Sanctions,High,19
2022-05-23,KYC,Low,143
2022-05-23,KYC,High,11
2022-05-23,Payments,Low,20
2022-05-23,Payments,High,68
2022-05-23,Sanctions,Low,0
2022-05-23,Sanctions,High,44
2022-05-24,KYC,Low,144
2022-05-24,KYC,High,13
2022-05-24,Payments,Low,14
2022-05-24,Payments,High,63
2022-05-24,Sanctions,Low,5
2022-05-24,Sanctions,High,147
